outward,easting,northing,lat,lon
N9,534549,198569,51.669796,-0.055706
N99Q,533968,193384,51.623339,-0.066096
NE1,423955,562410,54.955772,-1.627475
NE10,425775,554192,54.881836,-1.599791
NE11,423290,561995,54.952071,-1.637891
NE12,428227,569723,55.021262,-1.560052
NE13,422088,572025,55.042262,-1.655886
NE14,421512,563416,54.964919,-1.665556
NE15,418999,566000,54.988244,-1.704629
NE16,419261,542697,54.778833,-1.702087
NE17,413959,559666,54.931494,-1.783691
NE18,408344,572949,55.050977,-1.870945
NE19,395510,569344,55.018626,-2.071760
NE2,425358,566743,54.994643,-1.605184
NE20,412885,564985,54.979320,-1.800214
NE21,418359,562376,54.955701,-1.714856
NE22,420976,556796,54.905457,-1.674396
NE23,426954,576210,55.079624,-1.579350
NE24,431105,562710,54.958079,-1.515807
NE25,433614,559063,54.925142,-1.477050
NE26,428959,551718,54.859428,-1.550406
NE27,431055,572568,55.046665,-1.515520
NE28,431120,567151,54.997985,-1.515084
NE29,435190,569169,55.015848,-1.451228
NE3,424356,565623,54.984626,-1.620952
NE30,436167,569945,55.022745,-1.435848
NE31,431713,564469,54.973839,-1.506111
NE32,433317,563940,54.968982,-1.481114
NE33,437649,547988,54.825336,-1.415531
NE34,430828,565195,54.980422,-1.519858
NE35,435260,562873,54.959268,-1.450905
NE36,436282,561213,54.944274,-1.435147
NE37,427175,537920,54.735540,-1.579491
NE38,431318,547656,54.822788,-1.514100
NE39,417874,539880,54.753568,-1.723822
NE4,420057,562742,54.958924,-1.688320
NE40,415185,563874,54.969268,-1.764343
NE41,411964,564550,54.975434,-1.814634
NE42,409311,563588,54.966843,-1.856109
NE43,406307,561626,54.949255,-1.903072
NE44,401496,561552,54.948626,-1.978184
NE45,399069,563936,54.970049,-2.016072
NE46,393857,566168,54.990073,-2.097534
NE47,383511,552385,54.865977,-2.258426
NE48,387281,580908,55.122400,-2.200981
NE49,398953,520101,54.576132,-2.017714
NE5,420143,566964,54.996867,-1.686686
NE6,427482,564757,54.976685,-1.572181
NE61,418353,572315,55.045016,-1.714315
NE62,427398,585506,55.163132,-1.571505
NE63,427731,587242,55.178714,-1.566114
NE64,430316,587802,55.183588,-1.525471
NE65,414610,603339,55.323911,-1.771305
NE66,419962,613506,55.415081,-1.686239
NE67,419737,627968,55.545026,-1.688778
NE68,421524,631756,55.578985,-1.660177
NE69,418352,635064,55.608837,-1.710268
NE7,426728,567405,55.000520,-1.583709
NE70,410876,634469,55.603721,-1.828945
NE71,396284,627264,55.539082,-2.060441
NE8,424878,547726,54.823776,-1.614320
NE88,424736,560848,54.941695,-1.615423
NE9,426568,560115,54.935019,-1.586890
NE98,425348,568136,55.007153,-1.605231
NG1,453258,341996,52.972701,-1.208374
NG10,447884,334691,52.907550,-1.289464
NG11,454283,328682,52.852930,-1.195327
NG12,463607,333567,52.895819,-1.055931
NG13,476531,337143,52.926276,-0.863015
NG14,465665,348152,53.026663,-1.022392
NG15,454861,345342,53.002618,-1.183927
NG16,447927,347699,53.024472,-1.286904
NG17,448937,357991,53.116882,-1.270281
NG18,453108,356185,53.100251,-1.208266
NG19,453381,363530,53.166245,-1.202968
NG2,457209,341570,52.968470,-1.149614
NG20,454148,364612,53.175889,-1.191312
NG21,459903,360152,53.135186,-1.106056
NG22,467548,363594,53.165211,-0.991073
NG23,483723,356971,53.103398,-0.750923
NG24,476647,359276,53.125181,-0.856043
NG25,474453,355045,53.087459,-0.889797
NG3,459096,340818,52.961510,-1.121656
NG31,492555,338216,52.933407,-0.624412
NG32,491258,339093,52.941505,-0.643461
NG33,494385,330934,52.867646,-0.599307
NG34,500746,352005,53.055841,-0.498295
NG4,463030,341580,52.967910,-1.062949
NG5,455200,344777,52.997508,-1.178969
NG6,453790,345727,53.006188,-1.199828
NG7,456050,337950,52.936052,-1.167494
NG8,450494,343179,52.983604,-1.249341
NG80,461672,345272,53.001246,-1.082473
NG9,451169,338605,52.942424,-1.240009
NG90,454344,336656,52.924595,-1.193096
NK40,505264,250576,52.143468,-0.463142
NN1,476404,260755,52.239712,-0.882480
NN10,495674,266875,52.291710,-0.598625
NN11,456356,259681,52.232467,-1.176219
NN12,468038,245855,52.106864,-1.007969
NN13,459020,237372,52.031641,-1.141084
NN14,486984,287688,52.480213,-0.720617
NN15,486749,282111,52.430128,-0.725520
NN16,486133,283823,52.445608,-0.734140
NN17,488879,290938,52.509119,-0.691852
NN18,487780,286216,52.466855,-0.709289
NN2,475761,263022,52.260178,-0.891390
NN27P,475464,263312,52.262820,-0.895686
NN29,491074,261869,52.247492,-0.667410
NN3,479420,262078,52.251180,-0.838022
NN4,477200,254118,52.179937,-0.872336
NN5,472410,262012,52.251553,-0.940702
NN51,489568,277896,52.391785,-0.685203
NN6,468637,270527,52.328572,-0.994229
NN7,473460,257212,52.208267,-0.926364
NN8,489169,268086,52.303684,-0.693656
NN9,496476,272020,52.337811,-0.585397
NP10,328043,187174,51.578820,-3.039823
NP11,324384,193665,51.636694,-3.094015
NP12,315242,231343,51.974076,-3.235309
NP13,321692,203125,51.721366,-3.135040
NP15,350220,224519,51.916975,-2.725175
NP16,355096,200636,51.702668,-2.651177
NP18,350207,218753,51.865128,-2.724529
NP19,334555,183854,51.549771,-2.945236
NP2,311444,207536,51.759486,-3.284488
NP20,330707,188222,51.588582,-3.001595
NP22,316924,206051,51.746982,-3.204746
NP23,329548,210832,51.791693,-3.022887
NP24,313930,202654,51.715990,-3.247269
NP25,353360,213707,51.820044,-2.678050
NP26,346727,189484,51.601669,-2.770573
NP3,318920,205200,51.739620,-3.175648
NP33,330280,197744,51.674123,-3.009661
NP4,334911,214794,51.827964,-2.945885
NP44,329482,196903,51.666463,-3.021020
NP47T,325776,203768,51.727698,-3.076068
NP48,325392,203632,51.726425,-3.081598
NP5,341056,206960,51.758213,-2.855405
NP6,347650,189718,51.603861,-2.757278
NP7,330168,215798,51.836415,-3.014904
NP8,319611,217761,51.852641,-3.168554
NP9,331845,188177,51.588312,-2.985166
NR1,603753,306820,52.620928,1.008661
NR10,613449,322970,52.762167,1.162127
NR11,621729,332775,52.846831,1.291280
NR12,632405,322953,52.754203,1.442536
NR13,626625,311300,52.652081,1.349035
NR14,625654,299078,52.542791,1.326378
NR15,621097,292977,52.489903,1.255239
NR16,609243,292322,52.488688,1.080511
NR17,592640,288375,52.459362,0.834016
NR18,610623,301457,52.570167,1.106583
NR19,598324,312897,52.677489,0.932218
NR2,621951,308431,52.628260,1.278132
NR20,600678,320397,52.743962,0.971569
NR21,591966,331123,52.843425,0.848957
NR22,592390,337273,52.898489,0.858879
NR23,591625,342998,52.950163,0.850894
NR24,601878,329857,52.828437,0.995143
NR25,607634,340029,52.917559,1.086931
NR26,615944,342870,52.939787,1.212218
NR27,621061,340893,52.919967,1.286881
NR28,629019,330407,52.822534,1.397666
NR29,645043,318732,52.710756,1.626270
NR3,616943,311682,52.659462,1.206384
NR30,643075,312449,52.655276,1.592565
NR31,644691,305391,52.591223,1.611196
NR32,650184,293721,52.484029,1.683331
NR33,649236,293040,52.478349,1.668893
NR34,627710,302084,52.568916,1.358701
NR35,628057,293517,52.491882,1.357930
NR4,621731,306747,52.613235,1.273754
NR5,619518,310657,52.649226,1.243718
NR50,618432,310656,52.649651,1.227681
NR58R,621048,309712,52.640120,1.265654
NR6,621327,310626,52.648216,1.270393
NR7,623429,313010,52.668752,1.303029
NR8,615807,312413,52.666477,1.190095
NR9,600881,300504,52.565293,0.962473
NR93,616400,304368,52.594024,1.193579
NW1,526587,186946,51.567194,-0.174980
NW10,521971,183835,51.540253,-0.242621
NW11,525099,188169,51.578516,-0.195997
NW2,523646,185933,51.558739,-0.217734
NW3,527099,185286,51.552163,-0.168195
NW4,523218,189200,51.588199,-0.222761
NW5,529103,185210,51.551026,-0.139329
NW6,525287,184429,51.544867,-0.194617
NW7,522331,192181,51.615183,-0.234527
NW8,526764,183095,51.532541,-0.173815
NW9,520596,189093,51.587805,-0.260632
NW90,520608,189896,51.595012,-0.260190
O44,439984,247744,52.126579,-1.417340
OL1,391709,405413,53.545311,-2.126590
OL10,387792,411346,53.598563,-2.185933
OL11,387679,413623,53.619024,-2.187731
OL12,390259,414981,53.631279,-2.148773
OL13,386922,422809,53.701565,-2.199568
OL14,393056,425127,53.722525,-2.106709
OL15,392529,416885,53.648431,-2.114492
OL16,392577,411974,53.604291,-2.113635
OL2,393156,408702,53.574894,-2.104819
OL3,399837,406135,53.551868,-2.003917
OL4,396512,404708,53.539027,-2.054086
OL5,397424,402273,53.517145,-2.040306
OL6,394481,400083,53.497439,-2.084658
OL7,393717,400133,53.497880,-2.096174
